dni,supermercado,provincia,fecha_llegada,fecha_salida,total_compra
61366995M,Dia,Almeria,25/02/2019 06:39,25/02/2019 08:02,71.09
07657003G,Supersol,Huelva,25/02/2019 06:47,25/02/2019 08:58,17.15
42522304L,Lidl,Cadiz,25/02/2019 09:47,25/02/2019 12:43,1.28
20385830X,Supersol,Almeria,25/02/2019 14:37,25/02/2019 16:23,13.04
54801154C,Dia,Almeria,25/02/2019 19:45,25/02/2019 21:32,70.72
58621691G,Mas,Malaga,25/02/2019 21:11,25/02/2019 23:32,110.84
89696500L,Mas,Cadiz,26/02/2019 03:40,26/02/2019 05:14,52.50
28487568K,Aldi,Almeria,26/02/2019 06:51,26/02/2019 08:37,29.99
59470217Z,Supersol,Cadiz,26/02/2019 09:41,26/02/2019 11:16,178.40
39893144N,Lidl,Malaga,26/02/2019 09:49,26/02/2019 12:45,175.69
86835115H,Lidl,Almeria,26/02/2019 10:43,26/02/2019 13:13,174.00
42522304L,Mercadona,Malaga,26/02/2019 11:17,26/02/2019 14:13,54.86
54930005W,Dia,Granada,26/02/2019 11:36,26/02/2019 14:07,18.87
49861960F,Mercadona,Malaga,26/02/2019 12:56,26/02/2019 15:55,117.89
97647240G,Aldi,Huelva,26/02/2019 13:41,26/02/2019 15:20,14.95
75953200R,Dia,Malaga,26/02/2019 18:12,26/02/2019 19:42,65.74
90225569L,Carrefour,Granada,26/02/2019 22:31,26/02/2019 22:43,106.80
25959356S,Supersol,Cadiz,26/02/2019 23:38,27/02/2019 02:09,44.16
52084140L,Supersol,Cadiz,27/02/2019 02:17,27/02/2019 03:29,11.89
85609885K,Mas,Malaga,27/02/2019 02:54,27/02/2019 03:34,29.82
88798554Q,Dia,Huelva,27/02/2019 07:24,27/02/2019 09:48,2.13
87219759X,Mas,Sevilla,27/02/2019 09:02,27/02/2019 09:26,104.42
80215208V,Aldi,Cadiz,27/02/2019 09:35,27/02/2019 09:46,127.03
30015074M,Supersol,Almeria,27/02/2019 12:52,27/02/2019 15:20,85.19
75260360J,Aldi,Cadiz,27/02/2019 17:58,27/02/2019 20:29,125.83
41534023W,Supersol,Huelva,27/02/2019 19:12,27/02/2019 20:30,151.64
49861960F,Mercadona,Huelva,28/02/2019 00:46,28/02/2019 02:36,66.45
22369448Q,Aldi,Cadiz,28/02/2019 09:53,28/02/2019 11:10,51.76
14304258Y,Mas,Cadiz,28/02/2019 22:26,01/03/2019 00:45,48.18
86328458M,Mas,Malaga,01/03/2019 06:04,01/03/2019 07:33,154.90
47241165Q,Supersol,Malaga,01/03/2019 14:27,01/03/2019 15:58,163.18
26723394Q,Dia,Cadiz,01/03/2019 15:59,01/03/2019 16:54,164.89
56266235R,Supersol,Sevilla,02/03/2019 04:46,02/03/2019 07:23,71.83
83826560R,Carrefour,Jaen,02/03/2019 06:53,02/03/2019 07:51,60.15
51907371M,Aldi,Malaga,02/03/2019 09:04,02/03/2019 09:27,66.85
08113702S,Lidl,Sevilla,02/03/2019 12:48,02/03/2019 15:17,99.85
77345797V,Aldi,Cadiz,02/03/2019 13:08,02/03/2019 15:37,84.98
89217507R,Supersol,Cordoba,02/03/2019 14:19,02/03/2019 16:41,68.12
99612009K,Mercadona,Granada,02/03/2019 19:24,02/03/2019 20:36,65.97
14304258Y,Mas,Cordoba,02/03/2019 19:44,02/03/2019 20:15,129.04
96399047K,Mercadona,Jaen,03/03/2019 04:39,03/03/2019 05:48,26.82
19371098S,Dia,Granada,03/03/2019 08:24,03/03/2019 09:35,78.21
67798408C,Dia,Almeria,03/03/2019 10:03,03/03/2019 11:22,37.51
67660077B,Mas,Granada,03/03/2019 12:47,03/03/2019 13:49,95.84
39800451D,Supersol,Malaga,03/03/2019 14:48,03/03/2019 15:03,182.28
63680819Y,Mas,Cadiz,03/03/2019 19:47,03/03/2019 21:08,24.96
46908107K,Aldi,Malaga,03/03/2019 20:03,03/03/2019 20:06,191.61
80037191C,Aldi,Cordoba,04/03/2019 00:57,04/03/2019 02:00,84.95
95213906R,Mercadona,Sevilla,04/03/2019 11:14,04/03/2019 12:36,45.22
63283958X,Mercadona,Almeria,04/03/2019 11:25,04/03/2019 12:49,100.74
01981740Z,Carrefour,Cordoba,04/03/2019 11:52,04/03/2019 14:49,57.46
22621404F,Mas,Malaga,04/03/2019 13:30,04/03/2019 15:51,66.43
49806525W,Mas,Cadiz,04/03/2019 14:57,04/03/2019 15:21,197.47
54197541L,Mas,Cordoba,04/03/2019 19:02,04/03/2019 19:22,174.60
53555340R,Mercadona,Cordoba,04/03/2019 19:16,04/03/2019 19:22,84.71
29192757F,Aldi,Jaen,04/03/2019 21:22,04/03/2019 21:43,2.57
47314736X,Carrefour,Malaga,04/03/2019 22:34,04/03/2019 22:55,161.18
58621691G,Carrefour,Huelva,04/03/2019 22:57,05/03/2019 00:56,180.25
97548385A,Mercadona,Jaen,05/03/2019 13:09,05/03/2019 14:43,23.49
19371098S,Lidl,Malaga,05/03/2019 13:55,05/03/2019 14:36,100.02
18343589P,Lidl,Sevilla,05/03/2019 14:23,05/03/2019 15:31,150.78
62745110Y,Aldi,Cordoba,05/03/2019 15:47,05/03/2019 16:40,11.36
30015074M,Supersol,Granada,06/03/2019 00:08,06/03/2019 01:56,43.31
23211792P,Aldi,Almeria,06/03/2019 04:12,06/03/2019 06:23,102.96
16274345M,Mercadona,Sevilla,07/03/2019 00:48,07/03/2019 01:25,74.91
50472032G,Aldi,Huelva,07/03/2019 05:39,07/03/2019 07:14,35.75
29192757F,Dia,Huelva,07/03/2019 11:09,07/03/2019 13:28,54.73
54744570Q,Aldi,Cadiz,07/03/2019 15:59,07/03/2019 18:23,54.42
42679297Z,Dia,Malaga,07/03/2019 16:05,07/03/2019 18:51,37.80
69371422H,Aldi,Malaga,07/03/2019 16:12,07/03/2019 19:04,86.09
74608293L,Mas,Sevilla,07/03/2019 16:23,07/03/2019 18:37,97.69
95962277K,Lidl,Jaen,07/03/2019 17:17,07/03/2019 18:21,137.67
88676745S,Dia,Jaen,07/03/2019 17:22,07/03/2019 18:43,39.18
61828490M,Lidl,Sevilla,08/03/2019 00:29,08/03/2019 02:51,18.16
35738005F,Aldi,Cordoba,08/03/2019 01:01,08/03/2019 03:37,85.47
01094702V,Aldi,Granada,08/03/2019 05:16,08/03/2019 06:53,38.67
83612113Y,Mercadona,Huelva,08/03/2019 06:35,08/03/2019 09:24,5.33
73168909K,Aldi,Almeria,08/03/2019 07:10,08/03/2019 10:00,95.91
26730664H,Lidl,Malaga,08/03/2019 08:56,08/03/2019 10:14,101.15
01981740Z,Mercadona,Sevilla,08/03/2019 09:36,08/03/2019 10:55,93.59
14308083J,Carrefour,Sevilla,08/03/2019 13:18,08/03/2019 13:35,179.43
22253955Y,Supersol,Sevilla,08/03/2019 17:16,08/03/2019 18:09,105.02
41642524N,Lidl,Sevilla,08/03/2019 20:38,08/03/2019 22:30,144.85
45925901F,Mas,Cordoba,09/03/2019 01:49,09/03/2019 02:33,141.86
66595641S,Aldi,Sevilla,09/03/2019 02:50,09/03/2019 05:16,104.19
39141468E,Mercadona,Jaen,09/03/2019 10:52,09/03/2019 12:21,143.59
14657186E,Carrefour,Almeria,09/03/2019 13:57,09/03/2019 14:11,6.25
21439721H,Aldi,Cordoba,09/03/2019 14:28,09/03/2019 15:57,111.08
70968635L,Supersol,Cadiz,09/03/2019 17:02,09/03/2019 18:09,61.67
47504932L,Aldi,Cordoba,09/03/2019 19:24,09/03/2019 22:06,180.18
26884191C,Mas,Sevilla,09/03/2019 22:50,10/03/2019 00:11,111.99
91073558K,Supersol,Huelva,10/03/2019 00:48,10/03/2019 02:44,110.61
96501703M,Supersol,Granada,10/03/2019 01:02,10/03/2019 01:38,44.86
57273611T,Supersol,Malaga,10/03/2019 01:14,10/03/2019 03:21,146.73
01847253P,Aldi,Huelva,10/03/2019 01:28,10/03/2019 02:39,115.66
85583540B,Dia,Malaga,10/03/2019 02:25,10/03/2019 03:32,127.32
70504195H,Carrefour,Jaen,10/03/2019 18:58,10/03/2019 20:03,131.80
16531963T,Dia,Jaen,10/03/2019 22:20,11/03/2019 01:12,81.20
96429150V,Carrefour,Jaen,11/03/2019 00:50,11/03/2019 02:37,199.87
44124001L,Lidl,Sevilla,11/03/2019 01:34,11/03/2019 01:57,169.39
76663187R,Dia,Almeria,11/03/2019 03:13,11/03/2019 05:57,44.12
24456217H,Carrefour,Granada,11/03/2019 04:17,11/03/2019 06:39,172.32
61943751J,Dia,Sevilla,11/03/2019 12:09,11/03/2019 13:56,98.83
83826560R,Carrefour,Huelva,11/03/2019 16:59,11/03/2019 17:27,3.11
65667384S,Supersol,Jaen,11/03/2019 17:12,11/03/2019 18:02,190.90
97929948L,Dia,Malaga,12/03/2019 01:00,12/03/2019 03:46,114.40
17745965Q,Mas,Cadiz,12/03/2019 01:58,12/03/2019 03:36,73.28
69676491S,Supersol,Granada,12/03/2019 03:34,12/03/2019 04:53,33.29
89945059V,Carrefour,Malaga,12/03/2019 11:29,12/03/2019 12:06,166.36
33450761K,Aldi,Cordoba,12/03/2019 16:00,12/03/2019 16:54,170.19
55830433A,Mas,Jaen,12/03/2019 19:52,12/03/2019 20:22,136.08
38613809Y,Dia,Granada,12/03/2019 21:11,12/03/2019 22:29,5.40
61845771J,Aldi,Huelva,12/03/2019 21:14,12/03/2019 22:34,38.84
46789450K,Aldi,Cordoba,12/03/2019 21:29,12/03/2019 21:41,191.04
76503388Y,Lidl,Malaga,13/03/2019 01:07,13/03/2019 03:33,144.23
10564050N,Supersol,Cordoba,13/03/2019 01:51,13/03/2019 03:41,185.45
22721234V,Supersol,Granada,13/03/2019 04:02,13/03/2019 06:58,88.91
84644396A,Mercadona,Cordoba,13/03/2019 04:22,13/03/2019 05:10,143.27
71347909T,Supersol,Malaga,13/03/2019 20:06,13/03/2019 20:15,58.21
10070796Q,Lidl,Malaga,13/03/2019 22:49,13/03/2019 23:57,112.87
48210679B,Lidl,Malaga,14/03/2019 04:14,14/03/2019 06:41,124.66
62745110Y,Supersol,Jaen,14/03/2019 04:50,14/03/2019 05:23,105.65
67616573T,Carrefour,Cordoba,14/03/2019 05:24,14/03/2019 07:44,14.67
88226973P,Dia,Sevilla,14/03/2019 10:59,14/03/2019 11:55,28.53
89803474C,Mas,Malaga,14/03/2019 18:10,14/03/2019 20:52,162.49
69252327V,Carrefour,Granada,15/03/2019 02:32,15/03/2019 05:26,98.45
14304258Y,Mercadona,Cadiz,15/03/2019 08:04,15/03/2019 10:25,70.15
54744570Q,Supersol,Cadiz,15/03/2019 15:52,15/03/2019 17:37,114.98
88226973P,Mas,Jaen,15/03/2019 19:08,15/03/2019 21:55,187.16
74396482S,Mercadona,Jaen,15/03/2019 22:47,15/03/2019 23:45,198.16
83207095H,Mas,Cadiz,16/03/2019 00:47,16/03/2019 01:47,166.40
83643589H,Aldi,Malaga,16/03/2019 03:41,16/03/2019 06:00,94.63
77898474G,Mas,Sevilla,16/03/2019 05:37,16/03/2019 08:31,148.99
74396482S,Dia,Huelva,16/03/2019 06:00,16/03/2019 06:13,19.40
31284679X,Dia,Malaga,16/03/2019 09:01,16/03/2019 09:19,139.93
63777387C,Mercadona,Cordoba,16/03/2019 09:21,16/03/2019 09:23,163.96
15112574X,Aldi,Cadiz,16/03/2019 13:14,16/03/2019 16:13,181.90
25959356S,Lidl,Cordoba,16/03/2019 15:35,16/03/2019 16:12,11.00
45099458T,Mas,Jaen,16/03/2019 18:51,16/03/2019 20:53,99.45
01847253P,Mas,Malaga,17/03/2019 02:50,17/03/2019 04:13,182.44
69252327V,Aldi,Granada,17/03/2019 02:53,17/03/2019 03:51,107.65
17349625N,Mas,Sevilla,17/03/2019 07:48,17/03/2019 10:05,184.61
54930005W,Lidl,Malaga,17/03/2019 12:03,17/03/2019 12:35,48.49
22369448Q,Dia,Almeria,17/03/2019 13:31,17/03/2019 15:57,147.11
76503388Y,Carrefour,Granada,17/03/2019 13:46,17/03/2019 16:05,82.89
83643589H,Carrefour,Huelva,17/03/2019 13:52,17/03/2019 16:29,179.65
08693645J,Carrefour,Malaga,17/03/2019 16:16,17/03/2019 16:46,93.21
65694773B,Aldi,Malaga,17/03/2019 17:54,17/03/2019 20:13,13.88
67424089A,Mercadona,Malaga,17/03/2019 21:38,17/03/2019 22:22,103.04
41642524N,Lidl,Cordoba,18/03/2019 06:26,18/03/2019 07:00,108.11
37089432T,Supersol,Cordoba,18/03/2019 13:06,18/03/2019 15:46,13.97
06875131V,Carrefour,Malaga,18/03/2019 17:52,18/03/2019 20:23,3.83
52079112M,Carrefour,Malaga,18/03/2019 21:15,18/03/2019 22:13,195.88
88226973P,Aldi,Granada,19/03/2019 04:12,19/03/2019 04:59,53.03
73168909K,Lidl,Malaga,19/03/2019 06:28,19/03/2019 08:05,37.82
96010371E,Carrefour,Sevilla,19/03/2019 07:39,19/03/2019 09:52,28.14
95589085G,Aldi,Sevilla,19/03/2019 11:18,19/03/2019 11:58,61.26
98065695C,Carrefour,Malaga,19/03/2019 14:46,19/03/2019 17:38,182.38
26457703K,Lidl,Huelva,19/03/2019 17:03,19/03/2019 18:38,194.45
28092397J,Mas,Jaen,19/03/2019 20:36,19/03/2019 21:55,166.74
57212545E,Aldi,Malaga,19/03/2019 20:44,19/03/2019 22:35,68.96
18343589P,Aldi,Granada,19/03/2019 22:12,20/03/2019 00:43,180.43
41937393K,Mas,Huelva,19/03/2019 23:09,20/03/2019 01:14,51.00
53016835H,Carrefour,Sevilla,20/03/2019 01:28,20/03/2019 02:15,187.56
48728111N,Mas,Granada,20/03/2019 09:30,20/03/2019 11:08,35.76
30869274P,Mas,Almeria,20/03/2019 11:16,20/03/2019 11:25,17.23
80037191C,Aldi,Huelva,20/03/2019 11:43,20/03/2019 13:25,196.23
34122968F,Mercadona,Jaen,20/03/2019 21:37,20/03/2019 23:20,137.49
37483488C,Carrefour,Almeria,21/03/2019 00:29,21/03/2019 01:43,18.70
97929948L,Carrefour,Cadiz,21/03/2019 04:52,21/03/2019 05:08,117.12
47374034Z,Lidl,Cadiz,21/03/2019 10:20,21/03/2019 10:43,84.37
29192757F,Mercadona,Huelva,21/03/2019 10:23,21/03/2019 12:48,1.28
75260360J,Dia,Sevilla,21/03/2019 17:38,21/03/2019 18:45,66.46
63476511F,Aldi,Cordoba,21/03/2019 17:39,21/03/2019 19:52,96.94
21708733E,Mercadona,Cadiz,21/03/2019 19:17,21/03/2019 22:03,153.13
09912256S,Mas,Cordoba,21/03/2019 20:38,21/03/2019 22:55,194.68
05350155X,Supersol,Sevilla,21/03/2019 20:41,21/03/2019 21:40,155.80
11344365Y,Aldi,Malaga,21/03/2019 22:21,21/03/2019 23:49,192.90
85583540B,Supersol,Malaga,22/03/2019 06:17,22/03/2019 07:37,131.01
22721234V,Aldi,Almeria,22/03/2019 08:16,22/03/2019 10:39,83.40
32310289G,Mas,Malaga,22/03/2019 08:53,22/03/2019 09:01,184.31
41534023W,Aldi,Sevilla,22/03/2019 14:20,22/03/2019 14:49,16.46
47948703M,Supersol,Jaen,22/03/2019 15:52,22/03/2019 17:18,191.35
21575322B,Carrefour,Granada,22/03/2019 15:58,22/03/2019 18:56,93.89
30510524N,Carrefour,Sevilla,22/03/2019 16:00,22/03/2019 18:54,89.44
83207095H,Carrefour,Cadiz,22/03/2019 20:54,22/03/2019 22:02,82.00
90198216J,Dia,Jaen,22/03/2019 21:01,22/03/2019 21:44,30.01
58551456B,Aldi,Sevilla,22/03/2019 21:24,22/03/2019 21:42,74.75
97647240G,Aldi,Jaen,22/03/2019 21:44,22/03/2019 22:56,136.03
03973756T,Mercadona,Granada,22/03/2019 21:57,23/03/2019 00:07,165.50
94128682D,Dia,Granada,23/03/2019 02:00,23/03/2019 04:25,49.90
86302030G,Carrefour,Huelva,23/03/2019 06:13,23/03/2019 08:40,101.72
20857473S,Mas,Huelva,23/03/2019 07:19,23/03/2019 09:10,136.25
66595641S,Carrefour,Huelva,23/03/2019 08:03,23/03/2019 08:36,33.07
93787937D,Dia,Jaen,23/03/2019 10:25,23/03/2019 11:25,102.86
41534023W,Carrefour,Sevilla,23/03/2019 16:17,23/03/2019 19:04,189.24
70647427Y,Supersol,Cadiz,23/03/2019 19:16,23/03/2019 19:41,129.80
35280428S,Supersol,Huelva,23/03/2019 20:04,23/03/2019 21:50,36.26
77345797V,Aldi,Granada,23/03/2019 20:30,23/03/2019 22:09,23.55
40509222N,Dia,Cordoba,23/03/2019 21:20,23/03/2019 22:03,185.01
64270646K,Mercadona,Malaga,24/03/2019 05:27,24/03/2019 05:46,136.91
61943751J,Aldi,Cordoba,24/03/2019 06:36,24/03/2019 06:50,182.10
64236064P,Mercadona,Malaga,24/03/2019 06:37,24/03/2019 07:49,43.40
97820096S,Mercadona,Huelva,24/03/2019 06:42,24/03/2019 07:02,144.01
26723394Q,Mercadona,Granada,24/03/2019 07:44,24/03/2019 08:32,148.78
64270646K,Mas,Malaga,24/03/2019 08:51,24/03/2019 11:14,186.59
66122557H,Mercadona,Jaen,24/03/2019 10:02,24/03/2019 12:20,88.70
88676745S,Dia,Malaga,24/03/2019 12:57,24/03/2019 13:41,165.97
69767354M,Carrefour,Malaga,24/03/2019 16:19,24/03/2019 16:41,3.47
61845771J,Supersol,Malaga,24/03/2019 20:16,24/03/2019 21:04,63.34
39278848T,Carrefour,Almeria,24/03/2019 23:11,25/03/2019 00:19,156.19
49806525W,Aldi,Jaen,25/03/2019 03:45,25/03/2019 06:14,79.18
42679297Z,Dia,Malaga,25/03/2019 05:18,25/03/2019 05:57,43.24
09912256S,Lidl,Jaen,25/03/2019 05:20,25/03/2019 06:52,95.46
14657186E,Mercadona,Cordoba,25/03/2019 10:49,25/03/2019 13:23,44.68
50472032G,Lidl,Cadiz,25/03/2019 12:46,25/03/2019 13:13,3.49
28487568K,Aldi,Huelva,25/03/2019 15:10,25/03/2019 18:06,97.39
13529450E,Mas,Malaga,26/03/2019 05:11,26/03/2019 06:32,177.17
98991637M,Aldi,Cordoba,26/03/2019 06:56,26/03/2019 09:11,72.00
61433451Z,Aldi,Cordoba,26/03/2019 15:39,26/03/2019 16:29,85.29
57404511F,Carrefour,Cordoba,26/03/2019 20:15,26/03/2019 22:58,72.84
00017949D,Carrefour,Almeria,27/03/2019 02:59,27/03/2019 02:59,89.86
13811493Q,Mas,Huelva,27/03/2019 05:36,27/03/2019 07:20,178.23
79821136G,Dia,Jaen,27/03/2019 06:14,27/03/2019 07:20,88.98
49535461Q,Lidl,Cordoba,27/03/2019 10:29,27/03/2019 12:44,47.89
40794181R,Supersol,Granada,27/03/2019 11:03,27/03/2019 13:03,131.72
97647240G,Mercadona,Malaga,27/03/2019 11:11,27/03/2019 12:27,154.69
93164304K,Lidl,Granada,27/03/2019 22:25,28/03/2019 01:19,116.36
97613571F,Carrefour,Cadiz,27/03/2019 22:27,27/03/2019 23:06,6.44
18343589P,Mercadona,Malaga,28/03/2019 08:45,28/03/2019 09:32,193.61
96924645T,Carrefour,Malaga,28/03/2019 10:32,28/03/2019 11:43,137.84
66595641S,Mercadona,Cadiz,28/03/2019 10:55,28/03/2019 12:01,182.22
54744570Q,Lidl,Cordoba,28/03/2019 11:45,28/03/2019 14:33,19.47
06903946J,Lidl,Malaga,28/03/2019 11:51,28/03/2019 13:46,53.62
17745965Q,Lidl,Cadiz,28/03/2019 13:26,28/03/2019 14:03,81.41
42916174Z,Lidl,Sevilla,28/03/2019 15:10,28/03/2019 17:22,166.68
26730664H,Carrefour,Cadiz,28/03/2019 19:39,28/03/2019 22:37,131.59
67125389G,Carrefour,Sevilla,29/03/2019 00:54,29/03/2019 01:16,61.90
89803474C,Mas,Huelva,29/03/2019 07:00,29/03/2019 07:09,51.78
94504128A,Mercadona,Malaga,29/03/2019 10:50,29/03/2019 13:22,57.50
80806155W,Lidl,Malaga,29/03/2019 13:57,29/03/2019 14:06,177.50
60052878Q,Carrefour,Sevilla,29/03/2019 16:10,29/03/2019 18:46,9.81
46908107K,Dia,Sevilla,29/03/2019 21:28,29/03/2019 21:32,48.88
97785005E,Dia,Jaen,29/03/2019 22:48,29/03/2019 22:53,167.68
70266646J,Lidl,Malaga,30/03/2019 08:21,30/03/2019 08:51,197.93
22621404F,Lidl,Sevilla,30/03/2019 08:33,30/03/2019 11:12,24.60
62324051P,Mas,Cadiz,30/03/2019 08:36,30/03/2019 10:33,75.13
96816973Z,Supersol,Huelva,30/03/2019 15:26,30/03/2019 16:16,87.02
14657186E,Carrefour,Malaga,30/03/2019 17:55,30/03/2019 19:54,198.21
62601881K,Carrefour,Jaen,30/03/2019 18:30,30/03/2019 20:19,125.32
09340886B,Carrefour,Cordoba,30/03/2019 21:54,31/03/2019 00:36,176.89
60438858X,Mercadona,Huelva,30/03/2019 22:54,30/03/2019 23:48,108.73
41937393K,Aldi,Cadiz,30/03/2019 23:03,31/03/2019 00:45,48.13
15117133S,Aldi,Malaga,30/03/2019 23:23,30/03/2019 23:27,119.50
25033337E,Aldi,Sevilla,31/03/2019 06:53,31/03/2019 08:29,148.49
56284995Q,Lidl,Almeria,31/03/2019 08:56,31/03/2019 11:06,110.01
90797686B,Carrefour,Sevilla,31/03/2019 12:44,31/03/2019 14:46,30.87
41534023W,Mas,Jaen,31/03/2019 20:31,31/03/2019 21:20,122.63
14764267S,Mas,Almeria,01/04/2019 07:38,01/04/2019 08:26,61.33
79707751D,Lidl,Granada,01/04/2019 13:15,01/04/2019 14:25,102.90
96429150V,Carrefour,Cadiz,01/04/2019 15:15,01/04/2019 15:41,152.25
96924645T,Mercadona,Almeria,01/04/2019 18:36,01/04/2019 19:39,32.46
96429150V,Dia,Jaen,01/04/2019 19:43,01/04/2019 21:23,192.49
77898474G,Mas,Sevilla,01/04/2019 23:24,02/04/2019 00:47,134.41
58507616D,Supersol,Jaen,02/04/2019 01:25,02/04/2019 02:18,34.62
17349625N,Mas,Cadiz,02/04/2019 09:11,02/04/2019 11:25,76.49
56335577K,Dia,Cordoba,02/04/2019 09:33,02/04/2019 10:01,45.66
03973756T,Lidl,Granada,02/04/2019 10:30,02/04/2019 10:50,168.12
34122968F,Lidl,Sevilla,02/04/2019 11:34,02/04/2019 11:45,189.79
67616573T,Mercadona,Almeria,02/04/2019 13:08,02/04/2019 15:50,196.25
45925901F,Mercadona,Jaen,02/04/2019 14:03,02/04/2019 14:10,178.39
06873834P,Mas,Sevilla,02/04/2019 18:09,02/04/2019 19:24,78.92
29708062C,Supersol,Cordoba,03/04/2019 00:51,03/04/2019 03:47,43.27
96429150V,Dia,Huelva,03/04/2019 02:32,03/04/2019 05:09,74.75
00017949D,Lidl,Almeria,03/04/2019 08:55,03/04/2019 09:59,101.52
74159107T,Supersol,Malaga,03/04/2019 11:17,03/04/2019 12:38,50.38
74893962M,Carrefour,Almeria,03/04/2019 11:36,03/04/2019 14:01,87.17
00105632Q,Carrefour,Cadiz,03/04/2019 17:07,03/04/2019 19:18,17.43
51873732S,Mas,Huelva,03/04/2019 18:25,03/04/2019 19:27,84.45
72585732D,Mercadona,Granada,04/04/2019 05:53,04/04/2019 08:04,33.57
13886180E,Carrefour,Jaen,04/04/2019 07:20,04/04/2019 10:15,192.35
40961226C,Carrefour,Jaen,04/04/2019 10:18,04/04/2019 12:04,170.32
14726795X,Lidl,Malaga,04/04/2019 10:36,04/04/2019 11:30,192.87
93787937D,Supersol,Malaga,04/04/2019 13:40,04/04/2019 15:52,104.96
19371098S,Lidl,Malaga,04/04/2019 16:04,04/04/2019 17:03,177.24
17349625N,Lidl,Malaga,04/04/2019 19:59,04/04/2019 20:41,77.36
69767354M,Mas,Malaga,04/04/2019 23:28,05/04/2019 00:57,75.30
67616573T,Carrefour,Almeria,05/04/2019 01:39,05/04/2019 03:23,66.93
70405101P,Dia,Huelva,05/04/2019 02:34,05/04/2019 05:33,195.80
06875131V,Supersol,Granada,05/04/2019 03:23,05/04/2019 04:40,188.90
85685230H,Carrefour,Jaen,05/04/2019 04:46,05/04/2019 05:49,133.06
79821136G,Dia,Jaen,05/04/2019 06:57,05/04/2019 09:54,59.78
58351586B,Supersol,Sevilla,05/04/2019 11:56,05/04/2019 14:25,121.15
06873834P,Aldi,Huelva,05/04/2019 14:16,05/04/2019 16:46,140.21
09223452S,Dia,Malaga,05/04/2019 14:58,05/04/2019 17:39,105.11
96010371E,Carrefour,Sevilla,05/04/2019 16:14,05/04/2019 16:33,161.17
30626820C,Aldi,Jaen,05/04/2019 17:30,05/04/2019 19:50,144.04
85792396G,Carrefour,Cordoba,06/04/2019 01:28,06/04/2019 02:20,17.13
14765375L,Mercadona,Granada,06/04/2019 07:09,06/04/2019 07:14,127.89
72927620W,Dia,Almeria,06/04/2019 09:39,06/04/2019 11:02,70.09
36148874G,Supersol,Sevilla,06/04/2019 10:53,06/04/2019 13:43,28.77
06903946J,Dia,Malaga,06/04/2019 13:35,06/04/2019 16:26,168.78
60694594D,Lidl,Malaga,06/04/2019 17:10,06/04/2019 17:31,64.08
05723208A,Aldi,Granada,06/04/2019 18:32,06/04/2019 21:16,161.06
06729794V,Lidl,Granada,07/04/2019 00:23,07/04/2019 01:52,16.29
58621691G,Supersol,Malaga,07/04/2019 00:55,07/04/2019 03:07,117.78
22253955Y,Supersol,Cordoba,07/04/2019 02:07,07/04/2019 03:08,87.66
65817663N,Mas,Cordoba,07/04/2019 07:44,07/04/2019 08:23,20.67
29300457K,Aldi,Huelva,07/04/2019 12:23,07/04/2019 13:23,189.28
41937393K,Aldi,Granada,07/04/2019 14:23,07/04/2019 16:17,143.07
39800451D,Dia,Almeria,07/04/2019 21:31,07/04/2019 23:55,141.04
11344365Y,Lidl,Granada,07/04/2019 23:25,08/04/2019 01:15,23.50
68573730N,Aldi,Granada,07/04/2019 23:28,08/04/2019 02:15,109.26
66595641S,Carrefour,Sevilla,07/04/2019 23:45,08/04/2019 01:10,139.32
65667384S,Aldi,Huelva,08/04/2019 00:02,08/04/2019 01:20,64.06
86118654F,Lidl,Cadiz,08/04/2019 05:27,08/04/2019 06:37,160.18
56335577K,Dia,Jaen,08/04/2019 09:59,08/04/2019 11:30,84.91
05723208A,Lidl,Malaga,08/04/2019 13:52,08/04/2019 14:50,51.98
69153976Z,Mercadona,Cordoba,08/04/2019 15:45,08/04/2019 15:52,48.70
70504195H,Lidl,Sevilla,08/04/2019 16:10,08/04/2019 17:27,167.85
64033372S,Dia,Jaen,08/04/2019 18:00,08/04/2019 19:37,134.75
01094702V,Mas,Malaga,08/04/2019 19:05,08/04/2019 19:08,170.25
20857473S,Dia,Cadiz,08/04/2019 19:24,08/04/2019 22:19,198.95
17745965Q,Aldi,Sevilla,09/04/2019 01:36,09/04/2019 02:38,87.01
63680819Y,Supersol,Cordoba,09/04/2019 04:52,09/04/2019 07:19,80.18
40794181R,Lidl,Granada,09/04/2019 07:10,09/04/2019 10:00,195.99
89217507R,Supersol,Cordoba,09/04/2019 11:00,09/04/2019 11:06,74.23
06875131V,Mas,Almeria,09/04/2019 13:21,09/04/2019 13:52,33.27
38365814C,Dia,Granada,09/04/2019 14:27,09/04/2019 16:47,22.82
03973756T,Mas,Sevilla,09/04/2019 15:28,09/04/2019 16:43,47.75
69767354M,Aldi,Sevilla,09/04/2019 20:38,09/04/2019 22:20,73.88
15114702E,Carrefour,Malaga,10/04/2019 00:30,10/04/2019 01:46,69.40
51933957A,Supersol,Granada,10/04/2019 02:20,10/04/2019 04:46,155.40
30869274P,Carrefour,Cadiz,10/04/2019 10:29,10/04/2019 11:00,51.99
51933957A,Lidl,Granada,10/04/2019 11:44,10/04/2019 14:28,87.24
09896169M,Supersol,Sevilla,10/04/2019 13:15,10/04/2019 13:29,16.71
67327775J,Lidl,Malaga,11/04/2019 00:30,11/04/2019 02:11,11.46
